fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-04-17,AA,AA_CODESHARE,AA,5561,OH,N537EA,5561,10599,BHM,"Birmingham, AL",14100,PHL,"Philadelphia, PA",1107,1133,26,70,1243,1531,3,1423,1534,71,0,,0,N,136,181,108,1,772,0,0,71,0,0,,,,
2018-07-16,DL,DL_CODESHARE,DL,5551,EV,N758EV,5551,10397,ATL,"Atlanta, GA",13367,MLI,"Moline, IL",1550,1543,-7,12,1555,1621,4,1650,1625,-25,0,,0,N,120,102,86,1,633,,,,,,,,,
2019-07-10,AA,AA,AA,513,AA,N961UW,513,13487,MSP,"Minneapolis, MN",14100,PHL,"Philadelphia, PA",1103,1100,-3,12,1112,1421,9,1443,1430,-13,0,,0,N,160,150,129,1,980,,,,,,,,,
2019-04-17,DL,DL,DL,2598,DL,N830DN,2598,10397,ATL,"Atlanta, GA",14122,PIT,"Pittsburgh, PA",1953,1948,-5,10,1958,2107,7,2136,2114,-22,0,,0,N,103,86,69,1,526,,,,,,,,,
2018-08-21,B6,B6,B6,16,B6,N945JB,16,14771,SFO,"San Francisco, CA",12478,JFK,"New York, NY",645,639,-6,48,727,1514,8,1520,1522,2,0,,0,N,335,343,287,1,2586,,,,,,,,,
2018-11-16,AS,AS_CODESHARE,AS,2009,QX,N442QX,2009,14057,PDX,"Portland, OR",14489,RDM,"Bend/Redmond, OR",2125,2303,98,13,2316,2341,3,2204,2344,100,0,,0,N,39,41,25,1,116,0,0,2,0,98,,,,
2018-10-31,DL,DL,DL,2985,DL,N904DN,2985,13487,MSP,"Minneapolis, MN",14679,SAN,"San Diego, CA",850,850,0,11,901,1025,2,1045,1027,-18,0,,0,N,235,217,204,1,1532,,,,,,,,,
2018-06-07,DL,DL_CODESHARE,DL,4172,OO,N899SK,4172,11193,CVG,"Cincinnati, OH",13487,MSP,"Minneapolis, MN",935,951,16,9,1000,1033,7,1035,1040,5,0,,0,N,120,109,93,1,596,,,,,,,,,
2019-11-17,WN,WN,WN,6469,WN,N918WN,6469,15016,STL,"St. Louis, MO",11278,DCA,"Washington, DC",1930,1928,-2,8,1936,2213,6,2225,2219,-6,0,,0,N,115,111,97,1,719,,,,,,,,,
2018-12-27,AS,AS,AS,1490,AS,N365VA,1490,12892,LAX,"Los Angeles, CA",12889,LAS,"Las Vegas, NV",2010,2006,-4,17,2023,2107,10,2126,2117,-9,0,,0,N,76,71,44,1,236,,,,,,,,,
